"SMC_Subtype","Pathway_ID","Description","setSize","enrichmentScore","NES","P_value","Adjusted_P_value","core_enrichment"
"SMC2","M45001","LIU OVARIAN CANCER TUMORS AND XENOGRAFTS XDGS DN",440,0.501348174270805,2.18685807600907,5.90653881157852e-21,1.1981413979287e-17,"ISLR/APOL1/COL1A2/FGL2/TIMP1/DCHS1/CCDC80/FZD1/COL8A2/SOD3/EMILIN1/NDN/CSPG4/COL6A3/CD74/SERPINA3/IGFBP7/CD93/FN1/LGALS1/LHFPL6/CCN5/DEPP1/ACTG2/FIBIN/ADH1B/LAMB1/PLAT/THBD/TRPS1/C1S/CPE/MSN/COL4A1/HTRA1/LRRC32/ZBTB16/AOC3/PRELP/CLIC4/ITM2B/HMOX1/LRP1/VAMP5/COL3A1/C1QTNF1/SPARC/RAMP1/CAVIN3/MGP/APOL6/CTSL/LAMA2/COL1A1/DKK3/VCAM1/COL8A1/GASK1B/CLEC11A/CAVIN1/TAGLN/MFAP4/C1R/AKR1C3/COL14A1/KCTD12/AQP1/SYNPO2/NLRC5/SPHK1/SRGN/TNFAIP8L3/FKBP5/RCN3/RRAS/TLR2/HEPH/NID2/AEBP1/NBL1/TWIST1/B2M/PCOLCE/GPNMB/ATRNL1/ARHGAP18/CMKLR1/CMTM3/GAS1/TAP1/CFH/SPOCK1/ADAMTS2/PEAR1/COX7A1/PROCR/MSC/EMP3/JAK3/COL5A1/TIMP3/NPTX2/SYNPO/CDC42EP5/NNMT/ANGPTL2/TIMP2/SCN1B/MMP14/CTHRC1/COL15A1/OGN/SLC40A1/TGFBI/DACT3/P3H3/TMEM204/GGT5/CTBS/SPARCL1/SLC16A3/MT1E/IL33/SELENOM/PLEKHO2/A4GALT/ABCC3/MMP2/SFRP1/COPZ2/LTBP2/A2M/SQOR/LHFPL2/INMT/ENG/PDGFRA"
"SMC2","M2129","CHICAS RB1 TARGETS CONFLUENT",256,0.545567131532144,2.30359658329585,2.55439300181388e-17,3.45439080278631e-14,"COL1A2/CLU/CCDC80/CNN2/ACOT7/SH3BGRL3/FN1/CXXC5/ACTB/LHFPL6/DEPP1/ACTG2/CD81/S100A4/PRSS23/ADH1B/IFITM3/C1S/CPE/ASS1/TSPO/METTL7A/COL3A1/SLC14A1/SPARC/CAVIN3/IGFBP6/APOL6/S100A6/COL1A1/VCAM1/PKM/GASK1B/CDC42EP3/WDR1/CAVIN1/TAGLN/MFAP4/C1R/SDC3/SYNPO2/SSPN/LY6E/G6PD/GPC1/SDC4/TWIST1/S100A10/PCOLCE/FLNA/SPOCD1/ARHGAP18/SPOCK1/ADAMTS2/PEAR1/GSN/EMP3/FRZB/COL5A1/SYNPO/CDC42EP5/FKBP9/NNMT/ANXA2/ANGPTL2/TIMP2/CTHRC1/COL15A1/TLN1/TGM2/ADAMTS8/ZNF703/LPP/SFRP1/SERPINH1/CD99/MFGE8/COPZ2/AK1/LTBP2/NES/AHNAK/ZYX/HSPB6/PLIN3/MYL9/SERPING1/CNTNAP1/FAP/CD9/CXCL12/PRDX6/MTHFD2/NREP/BCL7C/BGN/STEAP3"
"SMC2","M5884","NABA CORE MATRISOME",100,0.670201042230781,2.56300458870715,5.38730602279628e-16,5.46407513362113e-13,"IGFBP2/COL1A2/FGL2/COL8A2/FMOD/EMILIN1/COL6A3/IGFBP7/FN1/CCN5/LAMB1/COL27A1/COL4A1/PRELP/COL7A1/COL3A1/SPARC/MGP/IGFBP6/LAMA2/COL1A1/LTBP4/COL8A1/MFAP4/COL14A1/SRGN/IGFBP5/NID2/TNC/COL18A1/AEBP1/LTBP3/PCOLCE/SPOCK1/COL4A2/COL5A1/LAMB2/CTHRC1/COL15A1/OGN/TGFBI/SPARCL1/AGRN/MFGE8/NTN1/LTBP2/GLDN/HSPG2/SNED1/MFAP2/LAMA5/BGN/IGFBP4/COL5A3/SMOC2/LAMC1/COL4A4/NID1/LTBP1/PCOLCE2/COL5A2/CRELD2"
"SMC2","M12225","PICCALUGA ANGIOIMMUNOBLASTIC LYMPHOMA UP",125,0.622213395365307,2.44833649332562,6.79880529663369e-15,5.51655061768857e-12,"COL1A2/CD63/CLU/CCDC80/COL8A2/EMILIN1/IGFBP7/CD93/FN1/DEPP1/CTSC/LAMB1/ITPRIPL2/C1S/COL4A1/COL3A1/SPARC/CTSL/COL1A1/VCAM1/GASK1B/CAVIN1/TAGLN/MFAP4/C1R/KCTD12/IGFBP5/RRAS/TNC/PCOLCE/GPNMB/CMKLR1/CFH/MARCKS/COL4A2/COX7A1/NNMT/CTHRC1/COL15A1/SLC40A1/RAB13/SPARCL1/IL33/ABCC3/SERPINH1/WLS/A2M/ENG/PDGFRA/MYL9/HSPG2/GJA1/SERPING1/IRAK3"
"SMC2","M610","REACTOME EXTRACELLULAR MATRIX ORGANIZATION",142,0.601194182961642,2.4018459593207,1.39388985605004e-14,9.42501857665837e-12,"BSG/COL1A2/TIMP1/COL8A2/FMOD/EMILIN1/COL6A3/CTSD/P4HB/FN1/LAMB1/COL27A1/COL4A1/HTRA1/COL7A1/COL3A1/SPARC/CTSL/LAMA2/COL1A1/LTBP4/VCAM1/COL8A1/MFAP4/COL14A1/SDC3/PLEC/PPIB/NID2/TNC/COL18A1/SDC4/LTBP3/PCOLCE/PLOD1/CD151/COL4A2/ADAMTS2/ITGB1/CTSB/COL5A1/LAMB2/ITGA3/TIMP2/MMP14/COL15A1/P3H3/ADAM15/ADAMTS8/BMP1/AGRN/MMP2/DDR1/SERPINH1/ITGA10/LTBP2/A2M"
"SMC2","M19541","REN ALVEOLAR RHABDOMYOSARCOMA DN",295,0.487199018208293,2.07827769832657,3.32840615516981e-13,1.68791797144049e-10,"LGALS3BP/CLU/TIMP1/FZD1/COL8A2/CNN2/CST3/ARF1/ATP6AP2/PRDX4/P4HB/SH3BGRL3/IGFBP7/ENDOD1/FN1/LAMP1/GRN/CD81/PLAT/C1S/MSN/HTRA1/ATP6AP1/TSPO/CLIC4/RABAC1/LRP1/IGFBP6/S100A6/COL1A1/COL8A1/WDR1/CAVIN1/SPHK1/CLTA/LY6E/RCN3/RRAS/RAC1/TWIST1/S100A10/PCOLCE/PLOD1/CD151/QSOX1/MAN2B2/ADAMTS2/GSN/VOPP1/CTSB/COL5A1/LRRC59/TAPBP/NNMT/ANXA2/TIMP2/MMP14/BCAP31/TGFBI/P3H3/TLN1/BMP1/MMP2/TPP1/LPP/RHOC/MFGE8/COPZ2/WLS/ZYX/APLP2/TMEM50A/SQOR/RHOA/RAB5C/ENG/PGRMC1/PRRX2/PDGFRA/ELOVL1/MXRA7/PAM/GJA1/GSTO1/SCPEP1/CLTB/PRAF2/RAB31"
"SMC2","M5314","MILI PSEUDOPODIA HAPTOTAXIS DN",390,0.453844654062589,1.96835027573525,2.94428326647675e-13,1.68791797144049e-10,"BSG/ITM2C/COL1A2/HOXB3/CHPF/CST3/SOD3/PRDX4/CTSD/TMEM109/KIAA2013/ENDOD1/SLC39A7/LHFPL6/GRN/CD81/PRSS23/LAMB1/CTSZ/THBD/TMED9/COL4A1/RTN3/ATP6AP1/SHISA5/MGAT1/GANAB/LRP1/SLC52A2/PCDHGC3/RAI1/SPARC/CKAP4/IGFBP6/TMED10/TMEM115/PDIA6/PLEC/AQP1/LY6E/CD276/AKAP1/ATP1A1/GPC1/LTBP3/PCOLCE/FLNA/KMT2B/CD151/QSOX1/IL17RA/MOGS/COL4A2/PEAR1/ITGB1/VASN/LRP10/ITGA3/ANGPTL2/TIMP2/BCAP31/ZNF142/TLN1/TM9SF1/EXT2/RTN4/CLCF1/BMP1/SLC20A1/SPPL2A/MMP2/ST3GAL2/DDR1/SLC38A10/SLC44A2/PTPRK/CSF1/FBXL6/SERPINH1/MFGE8/ZNF263/LTBP2/SLC2A10/SCFD1/PIGS/APLP2/SLC35F6/ELOVL1/HSPG2/GJA1/PTTG1IP/TMBIM4/IGSF8/SEC11A/EMC7/CD9/PLPP1/ARMC9/G6PC3/SERINC1/MARVELD1/TMEM185A/NLGN2/CANT1/TMED7/RER1/PRKCSH/SEC61A1/IL34/STEAP3/ATP6V0A2/ILVBL/MIGA2/TM9SF3/RNF10/ANKH/ARID1A/PDIA5/SLC30A7/ADCY6/CLSTN1/GAA/TNRC18/SFSWAP/TSPAN4/GNS/AXL/KDELR2/CD99L2/APMAP/PSEN1/NID1/LTBP1/TMEM245/TM9SF2/ADGRL2/ANO10/PSMD7/ATG9A"
"SMC2","M11197","HSIAO HOUSEKEEPING GENES",196,0.529805992065412,2.18799135709474,1.32393165782237e-12,5.96798970642816e-10,"COX8A/CD63/CLU/ACTG1/FMOD/CST3/ARF1/GLUL/HSP90AB1/ATF4/CD74/SERPINA3/PSAP/LGALS1/LAMP1/ACTB/CD81/NONO/IFITM3/MSN/HTRA1/MGP/TMED10/GSTP1/HNRNPF/EEF1G/PSMB4/CLTA/NPC2/TMSB10/TRIM28/DSTN/RAC1/B2M/S100A10/FLNA/MARCKS/VDAC2/ITGB1/XBP1/HNRNPK/POLR2L/FCGRT/MAZ/ATP5MC2/KAT6A/ANXA2/HNRNPL/BCAP31/CTNNB1/UBA52/DDX39B/EIF4A2/USP11/CFL1/EIF4H/SOD1/YWHAH/FTH1/PSMB5/TXNIP/APLP2/RHOA/GSTO1/NDUFA4/ARF3/PRDX6/CD164/EIF4G2/ATOX1/NEDD8/RER1/GNB1/TMSB4X/ARHGDIB/YBX1/SSR2/SPTBN1/XPO1/SURF1/NDUFV2/DDB1/SQSTM1/HSPB1/PSEN1/PFN1/EEF2/FHL1"
"SMC2","M1920","CHEN METABOLIC SYNDROM NETWORK",458,0.422172371596277,1.8446638307218,1.20244932366722e-11,4.87833690611791e-09,"IGFBP2/ITM2C/COL1A2/CD63/LGALS3BP/ACTG1/CCDC80/FMOD/EMILIN1/ARMCX2/ATP6AP2/COL6A3/CTSD/CD74/S100A11/SH3BGRL3/PSAP/ENDOD1/LGALS1/LHFPL6/GRN/ETFB/PLAT/TOR4A/COL4A1/HTRA1/SPARC/S100A6/LAMA2/COL1A1/VCAM1/COL8A1/MMP23B/PKM/GASK1B/WDR1/CAVIN1/KRT8/COL14A1/P2RY6/PPIB/SPHK1/SRGN/NPC2/TTC28/CHST12/RCN3/CD276/TLR2/HEPH/BACH1/TNC/LTBP3/PCOLCE/OBSL1/GPNMB/ITPRID2/CERCAM/FLNA/RIPOR1/ARHGAP18/CMTM3/MAPK7/ADAMTS2/GSN/VOPP1/MSC/VASN/EMP3/CALHM2/FRZB/CTSB/COL5A1/SYNPO/ANXA2/C5/PHLDB1/BFAR/LGMN/P3H3/GGT5/ALDH1B1/PLD3/CFL1/IL33/SAMHD1/ZNF503/MMP2/YWHAH/RHOC/CYBA/MFGE8/LRIG1/AK1/HOXB2/LTBP2/WLS/PLEKHO1/SLC2A10/STXBP5/TEP1/SLC35F6/PRRX2/ELOVL1/UNC5B/PAM/TRMT9B/MAFB/SCPEP1/IGSF8/PRAF2/RAB31/HOMER3/UBTD1/SPEG/RAP2B/CD9/RNF217/CCDC102A/MAGED2/MTHFD2/NLGN2/MFAP2/TBC1D1/BGN/GNB1/FES/TMSB4X/ARHGDIB/ACSS1/BEX3/PITPNM1"
"SMC3","M6782","BUYTAERT PHOTODYNAMIC THERAPY STRESS UP",169,0.578870648582967,2.60908906553697,7.91174313296661e-17,1.69232185614156e-13,"SLC2A3/NDRG1/IER3/DDIT4/BHLHE40/GPRC5A/INHBA/NFIL3/VEGFA/SOD2/RRAD/RNMT/ATP6V1B2/PGF/ABCA1/CLK1/P4HA2/DDIT3/TBC1D15/PIM1/NPC1/KLF10/FTL/PFKFB3/HERPUD1/KDM6B/CEBPD/PER2/RIOK3/WSB1/SLC6A6/ATG14/KDM3A/USP36/SLC3A2/ABL2/ATF3/NFKBIA/HBP1/SLC39A14/LGALS3/THBD/UBE2B/NAMPT/NUP58/CDKN1A/FGFR1/DHRS3/ETS2/JMJD6/LARP4/ARFGAP3/ZNF24/SAT1/RYBP/PPP1R15A/OSBP/COPS2/SPAG9/SQSTM1/MORC3/RBM39/ACVR1B/C3orf52/RBM25/FNBP4/IRF1/PJA2/ADAM17/SERP1/LMBR1L/SNAP23/PAFAH1B1/SETD5/RSRC2/TMF1/CCNL1/AFF4/SPSB1/GEM"
"SMC3","M11033","MENSE HYPOXIA UP",38,0.827776765397153,2.8904029620511,1.35388243443491e-15,1.44797726362813e-12,"ADM/HILPDA/SLC2A3/NDRG1/BHLHE40/PLOD2/ERO1A/PDK1/P4HA1/NFIL3/VEGFA/SOD2/ANKRD37/ENO2/C4orf3/BNIP3L/P4HA2/ANGPTL4/PFKFB3/PPFIA4/CEBPD/RIOK3/KDM3A/ATF3/NAMPT/RORA/JMJD6/OSMR/PPP1R15A/EGLN1"
"SMC3","M14072","WINTER HYPOXIA METAGENE",78,0.693227686551392,2.78601925160479,2.11194872665985e-15,1.50581944210847e-12,"ADM/HILPDA/HSP90B1/SLC2A3/NDRG1/DDIT4/SLC2A1/BHLHE40/PLOD2/P4HA1/NFIL3/VEGFA/CA12/CP/ERRFI1/BNIP3L/PGF/CLK1/HYOU1/P4HA2/DDIT3/ENO1/ANGPTL4/PIM1/TGFBI/FTL/PFKFB3/HERPUD1/RIOK3/SLC6A6/EIF4A3/LONP1/SLC3A2/TGFB3/HBP1/BACE2/CDKN1A/PNP/IGFBP5/NFKB2/TGM2/RELA/SAT1/ANXA5/THBS2/ID2"
"SMC3","M9197","ELVIDGE HYPOXIA BY DMOG UP",52,0.747723030839221,2.78367904982925,9.78400216694516e-14,5.23199515877392e-11,"ADM/HILPDA/EGLN3/NDRG1/DDIT4/SLC2A1/BHLHE40/AKAP12/ERO1A/GPRC5A/PDK1/P4HA1/NFIL3/VEGFA/ENO2/BNIP3L/P4HA2/GJA1/ANGPTL4/LOXL2/PIM1/TGFBI/PFKFB3/PPFIA4/SAMD4A/WSB1/ATG14/KDM3A/ATF3/PFKP/IGFBP5"
