"SMC_Subtype","Pathway_ID","Description","setSize","enrichmentScore","NES","P_value","Adjusted_P_value","core_enrichment"
"SMC4","M18562","MANALO HYPOXIA DN",47,0.741732441155899,2.95646722436652,7.24504071989514e-15,2.339113146709e-12,"C3orf52/NOP16/BOP1/RRP9/NOP56/WDR4/FASN/SRM/PFAS/DDX21/PUS1/LMNB2/TSR1/NCLN/UTP20/CEP83/GTPBP4/RRP1/ILF3/URB1/EBNA1BP2/PUM3/BCS1L/PA2G4/WDR74/EXOSC2/MTHFD1/RRP1B/TELO2/CLPB/HEATR1/ATP13A3/NAT10/CIAO1/NOL12"
"SMC4","M4772","CAIRO HEPATOBLASTOMA CLASSES UP",108,0.592285859499374,2.77578630072478,6.96008550227827e-15,2.339113146709e-12,"HMGA2/NOP16/BOP1/NOP56/PFAS/IMP4/DNMT1/PUS7/PUS1/POLD1/NT5DC2/GNL3/TSR1/MYBBP1A/PDCD11/NCLN/UTP20/EEF1B2/GTPBP4/RACK1/PRMT3/DAZAP1/SRPK1/ILF3/RABGGTB/EIF3B/APRT/EXOSC2/FKBP10/SCRIB/TMA16/ADSL/EIF4A1/TPD52L2/TAF1D/SEPTIN9/PRMT1/YBX1/RNF126/CDK4/WDR46/LRPPRC/FARSA/HEATR1/NAT10/TCERG1/MTA1/GCN1/DDX39A/ENO1/BUB3/NCL/DGKD/SMARCA4/CIAO1"
"SMC4","M19907","KRIGE RESPONSE TO TOSEDOSTAT 6HR DN",171,0.510618482022096,2.56994742173652,1.613653017322e-14,4.55856977393465e-12,"PCOLCE2/MYC/NREP/NOP16/RRP9/WDR4/PNP/FASN/SRM/PFAS/GPATCH4/IMP4/CENPX/LDLRAD3/DCAF4/WDR36/PUS7/PPAN/UCK2/CLUH/SLC17A9/GNL3/NOP2/TSR1/MYBBP1A/PDCD11/POLR1A/SCFD2/ADAM15/RRP1/XPO5/ILF3/EBNA1BP2/ZMYND19/ATAD3B/EIF3B/PA2G4/WDR74/TCOF1/RANGAP1/SLC25A39/DUS3L/RRP12/SCRIB/BZW1/SLC29A1/PES1/LTV1/PTGES2/DDX31/RRP1B/DDX54/RNF126/EHD1/TELO2/CCND1/CCDC124/WDR46/ZNF692/LRPPRC/FARSA/HEATR1/SLC7A6/TBL3/NOC2L/WDR35/TNPO2/ARHGEF40/NCL/DPP7/BAG1/DNAJC11/ARHGDIA/GNL3L/INF2/WDR90/NUDC"
"SMC4","M11961","PUJANA CHEK2 PCC NETWORK",103,0.558495773665536,2.59642684175547,5.81375906171768e-12,1.3139095479482e-09,"MYC/NOP16/BOP1/NOP56/IRAK1/PFAS/DDX21/WDR43/DNMT1/UCK2/NOP2/LMNB2/TSR1/DPH2/UTP20/EEF1B2/PRMT3/ILF3/PUM3/PA2G4/GNL2/THOP1/POLE3/BZW1/ADSL/NOP14/PRMT1/YBX1/RRP1B/RNF126/CDK4/ATP13A3/SLC7A6/NUTF2/TCERG1/MTA1/DDX39A/BUB3/NCL/SMARCA4/ATR/SSRP1/DHX15/GTF2H4/NCBP2/ELAC2/EIF5B/POLR2H/CTPS1/MAT2A/NAA10/HDGF/AATF/SNRPA/POLG/TATDN2/GNB3/SRSF2/AHSA1/MCM7/XPNPEP1/GOLIM4/NCBP1/ZC3H15/CHERP/TM9SF4/LARP4/ATXN10/SMARCD1"
"SMC4","M14427","DODD NASOPHARYNGEAL CARCINOMA DN",196,0.437212795254155,2.24257528032821,3.63367140508811e-10,6.31699798115318e-08,"UHRF1/MTCL1/PCOLCE2/MYC/NREP/NOP16/NOP56/WDR4/HELLS/SERPINE1/DDX21/WDR43/INHBA/PUS7/PUS1/UCK2/STX6/NOP2/LMNB2/TSR1/MYO19/POLR1A/COL6A3/GTPBP4/PRMT3/XPO5/ILF3/RABGGTB/EIF3B/PPRC1/COLGALT1/PA2G4/AEN/PRRX1/TMA16/ADSL/GRB10/TAF1D/PRMT1/NAA15/LTV1/YBX1/RRP1B/POGLUT1/SND1/HOMER3/CDK4/NAV1/GPSM1/LRPPRC/URI1/RTKN/HEATR1/NOP58/NUDT3/MTHFD1L/DDX39A/ENO1/LAMC1/UBE2G2/BUB3/UBE3C/CKAP4/ARHGEF40/NCL/SMARCA4/ATR/DCTD/FBN1/DNAJA3/OTUD6B/DHX15/NCBP2/AGO2/ITGAV/POLR2H/SRC/CTPS1/MAT2A/CAMKK2/CSTF3/CCL2/AMOTL1/CKAP5/AATF/ASCC3/SNRPA/NOL8/CALU/ANAPC7/WDR75/PRPF40A/SRSF2/U2AF2/ANKLE2"
"SMC4","M27685","REACTOME RRNA PROCESSING",34,0.72072088887429,2.66721342949132,4.09699164933484e-10,6.61371509106909e-08,"BOP1/RRP9/NOP56/IMP4/DDX21/WDR43/WDR36/GNL3/NOP2/TSR1/PDCD11/UTP20/RRP1/EBNA1BP2/EXOSC2/PES1/NOP14/LTV1/WDR46/HEATR1/TBL3/NOP58/NAT10/NCL/NOL12"
"SMC5","M45001","LIU OVARIAN CANCER TUMORS AND XENOGRAFTS XDGS DN",214,0.515647053016915,2.21809563270428,6.10634200381802e-12,9.12287495370412e-09,"CRISPLD2/ABCA6/CCDC102B/STEAP4/HIC1/ADAMTS4/IGFBP4/ABCA8/ADGRA2/COL5A3/ODF3B/TYMP/PODN/GGT5/CFH/COL15A1/ADAMTS2/LAMA4/CACNA1H/KCNT2/CXCL12/PDK4/PHLDA1/NR4A3/LAMA2/CCDC80/FHL2/IRF1/COMP/NR4A1/NID1/CCL2/PCOLCE/INMT/THBS1/LSP1/AHR/ZEB2/GUCY1A1/HEYL/NRP1/LRRC32/MT2A/CEBPD/IL6/PDGFRB/HGF/EPAS1/SULF1/PEAR1/SOCS3/ENG/COL6A3/NFASC/C1QTNF1/TNFRSF14/ZCCHC24/RORA/RUNX1/VCAN/TMEM204/AXL/KLF9/DLC1"
"SMC5","M5889","NABA MATRISOME",132,0.532770182291012,2.17431394555663,2.21758879786694e-08,1.6565388320066e-05,"CRISPLD2/CRLF1/AGT/ADAMTS4/IGFBP4/COL5A3/FBLN2/PODN/COL15A1/ADAMTS2/LAMA4/FBLN1/CXCL12/TNXB/IL34/LAMA2/COMP/MMP23B/NID1/CCL2/PCOLCE/CSF1/THBS1/PLXND1/PGF/COL18A1/COL24A1/ADAM19/IL6/HGF/SULF1/COL6A3"
"SMC5","M10454","MCLACHLAN DENTAL CARIES UP",26,0.717225352426502,2.20022918481196,1.44721476722462e-05,0.00540534715558396,"CRLF1/IGFBP4/TYMP/COL15A1/CXCL12/CCL2/LSP1/MT2A/CEBPD/IL6/SOCS3/BCL3/NAMPT"
"SMC5","M42504","FOROUTAN PRODRANK TGFB EMT DN",11,0.837396267228874,2.07458684101511,3.75275767060544e-05,0.0112132399197691,"TNFAIP2/PDK4/ANK3/NR2F2/ARHGAP29/SPRY1/CEBPD/EPAS1"
"SMC5","M3008","NABA ECM GLYCOPROTEINS",45,0.602411083075837,2.07082506333406,7.26123888553698e-05,0.0164273155969834,"CRISPLD2/IGFBP4/FBLN2/LAMA4/FBLN1/TNXB/LAMA2/COMP/NID1/PCOLCE/THBS1"
"SMC5","M5884","NABA CORE MATRISOME",72,0.522622642321137,1.95372668204457,7.69686808426263e-05,0.0164273155969834,"CRISPLD2/IGFBP4/COL5A3/FBLN2/PODN/COL15A1/LAMA4/FBLN1/TNXB/LAMA2/COMP/NID1/PCOLCE/THBS1/COL18A1/COL24A1/COL6A3"
"SMC5","M17923","BOQUEST STEM CELL CULTURED VS FRESH UP",87,0.499424540302664,1.92566931614454,0.000101255782169823,0.0186264800346313,"CRLF1/ABCA6/STEAP4/GGT5/CFH/COL15A1/PDK4/FHL2/IRF1/COMP/CCL2/THBS1/SPRY1/GUCY1A1/COL18A1/SAMHD1/SULF1/ENG/BTG2/ID1/NDRG2/SPTBN1/NAMPT/RORA/TGM2/PPP1R15A/KLF9"
"SMC5","M34026","BLANCO MELO BRONCHIAL EPITHELIAL CELLS INFLUENZA A DEL NS1 INFECTION UP",71,0.514145387470051,1.91767381014216,0.000112207711051996,0.0186264800346313,"CRISPLD2/ADAMTS4/ODF3B/TYMP/NCOA7/LAMA2/IRF1/CSF1/XAF1/TRIB2/HES4/SAMHD1/SOCS3/BCL3/ID4/C1QTNF1/TGM2/STAT1/KLF9/DLC1/SEPTIN4/IFI16/LY6E/KLF4/LGALS3BP/JUNB/GEM/STAT2/FAS/CEBPB/SLC25A25/ARRDC3/CLCF1/DEPP1/ANGPTL4/GATA6"
"SMC5","M2568","ALTEMEIER RESPONSE TO LPS WITH MECHANICAL VENTILATION",24,0.68546757095787,2.06560646427524,0.000221494454728116,0.0300829741239822,"ADAMTS4/TNFAIP2/AKAP12/THBS1/MT2A/CEBPD/IL6/SOCS3/BCL3/STAT1/VCAN/TIMP1/IFI16/JUNB/GEM/STAT2/LITAF"
"SMC5","M42502","FOROUTAN TGFB EMT DN",16,0.734876535938163,2.00651429905744,0.000301699574268379,0.0346722433813044,"TNFAIP2/CFH/PDK4/ANK3/NR2F2/ARHGAP29/SPRY1/EMP1/CEBPD/EPAS1"
