"Pseudotime","SMC_Subtype"
8.02737521391651,"SMC1"
11.1163559721991,"SMC2"
10.5257124175314,"SMC2"
8.1147162412592,"SMC1"
8.6898638052459,"SMC1"
8.62190035661324,"SMC2"
4.1435083268468,"SMC1"
4.75533688382718,"SMC2"
3.2056965660307,"SMC2"
9.48052395730408,"SMC2"
6.87597512496079,"SMC3"
1.53690686099814,"SMC1"
7.97727414125095,"SMC1"
14.2232529645508,"SMC5"
8.99768124731293,"SMC3"
12.0619505580836,"SMC1"
0.741600631071061,"SMC1"
6.55574075394061,"SMC3"
10.1831711235978,"SMC1"
8.89085275236441,"SMC2"
8.98242916512959,"SMC2"
0.5853706012267,"SMC1"
6.7754920538817,"SMC1"
5.2457883197421,"SMC1"
6.14560794755894,"SMC1"
8.85111718959504,"SMC2"
6.57491386321004,"SMC2"
6.65125516923457,"SMC2"
5.10679538678066,"SMC1"
4.06121963976211,"SMC1"
9.56381627701309,"SMC2"
3.02709908383957,"SMC1"
7.48506164318206,"SMC3"
4.84922206621899,"SMC3"
3.09300852915359,"SMC1"
8.55191983864224,"SMC1"
6.40448325869523,"SMC2"
9.46789503846429,"SMC3"
9.11938564576169,"SMC2"
2.82747714206141,"SMC1"
8.85111722572726,"SMC3"
8.90724240682148,"SMC2"
9.85793293368431,"SMC2"
5.68807072259046,"SMC3"
9.14717925826409,"SMC2"
11.4891037195043,"SMC2"
4.88791748424688,"SMC1"
8.8120890160029,"SMC3"
7.9675515306491,"SMC3"
14.1912592464209,"SMC1"
7.99661119122168,"SMC2"
7.89015011555329,"SMC1"
8.82954086214019,"SMC1"
7.81095082896716,"SMC3"
9.12231239769003,"SMC2"
8.61843716050462,"SMC2"
13.5772341478369,"SMC5"
8.68986384137813,"SMC2"
3.81179252199592,"SMC1"
8.61843719663684,"SMC2"
6.49307575219266,"SMC1"
8.61843723276906,"SMC2"
14.1912592825531,"SMC1"
5.25779411501739,"SMC1"
8.68986387751035,"SMC1"
7.92646834481956,"SMC3"
8.03994892839195,"SMC2"
8.71856435884104,"SMC1"
10.5257124536636,"SMC2"
4.99024598055161,"SMC1"
8.98242920126181,"SMC2"
6.67032721197135,"SMC3"
8.33272763520949,"SMC3"
2.3613862354463,"SMC1"
8.23507222259694,"SMC2"
6.58813292036331,"SMC3"
8.61843726890129,"SMC2"
7.42409607239347,"SMC3"
8.89887841299936,"SMC2"
12.5739340275053,"SMC1"
6.89865282762482,"SMC1"
10.7750756288779,"SMC2"
9.14717929439632,"SMC2"
6.51877001424075,"SMC1"
8.8047458880014,"SMC1"
10.395078507882,"SMC1"
9.61253083564105,"SMC2"
3.04744608452887,"SMC1"
11.5431517675554,"SMC2"
0.849647852673037,"SMC1"
8.99768128344515,"SMC2"
8.81324410257635,"SMC3"
10.2577289399261,"SMC2"
10.086924202073,"SMC1"
8.3125714188405,"SMC2"
7.02219383187194,"SMC1"
8.01907185009722,"SMC2"
10.4277335601049,"SMC2"
4.93585711745393,"SMC1"
3.20569660216292,"SMC5"
7.26285769586126,"SMC3"
12.0619505942158,"SMC4"
8.98242923739403,"SMC2"
10.2485757101962,"SMC2"
9.64547336376088,"SMC2"
8.89272472639014,"SMC2"
2.77584150564964,"SMC1"
8.68986391364257,"SMC2"
5.86364064559384,"SMC1"
6.78692368173353,"SMC3"
6.16346971203415,"SMC1"
2.72028667727465,"SMC1"
6.66755408688354,"SMC2"
9.51694773481692,"SMC2"
6.32196936620561,"SMC1"
6.49853949138389,"SMC3"
6.57929623780482,"SMC3"
10.1868819155733,"SMC2"
10.3662632672357,"SMC2"
8.03122814901495,"SMC2"
4.25651173988348,"SMC1"
9.66498585561692,"SMC1"
8.61843730503351,"SMC2"
9.14717933052854,"SMC2"
9.94446056402733,"SMC1"
9.94446060015955,"SMC2"
9.60897118697358,"SMC2"
3.26062705757837,"SMC1"
5.94567746072654,"SMC3"
9.12768088298166,"SMC3"
1.84254155920869,"SMC1"
8.84651210273463,"SMC2"
11.1752201757501,"SMC1"
4.82922700184841,"SMC2"
4.19338003424625,"SMC1"
11.3698869007501,"SMC2"
7.86648394018216,"SMC3"
4.03409098413857,"SMC1"
10.2334654152913,"SMC2"
7.38669089357135,"SMC3"
8.98242927352626,"SMC2"
9.48552894131383,"SMC3"
8.76228119655713,"SMC2"
10.0471651101902,"SMC2"
8.07800592431394,"SMC3"
13.6466471277861,"SMC5"
10.5257124897958,"SMC2"
10.525712525928,"SMC2"
5.95363935025225,"SMC1"
11.5431518036877,"SMC2"
9.14717936666076,"SMC2"
9.14717940279298,"SMC2"
8.68986394977479,"SMC2"
5.35960240802461,"SMC1"
11.4214133472887,"SMC3"
8.61843734116573,"SMC2"
2.68498299854389,"SMC1"
10.1071020657221,"SMC2"
2.63719230907335,"SMC1"
6.87597516109301,"SMC3"
14.2756450957178,"SMC5"
9.90721051434206,"SMC2"
8.31411365914937,"SMC1"
8.75162070736868,"SMC2"
14.1912593186853,"SMC2"
6.97755656754135,"SMC1"
4.16545011637236,"SMC1"
8.82325475697688,"SMC1"
6.90548898851167,"SMC1"
7.59980110416465,"SMC2"
6.06620176888188,"SMC1"
3.8859892925999,"SMC1"
9.90721055047429,"SMC2"
6.79512427798501,"SMC3"
3.81179255812814,"SMC1"
6.15526625248718,"SMC1"
9.14717943892521,"SMC2"
6.78017132377351,"SMC2"
2.19287183420052,"SMC1"
10.5257125620603,"SMC2"
8.53375681792939,"SMC2"
8.68986398590702,"SMC2"
9.62397038198623,"SMC2"
5.4874778235373,"SMC1"
9.46789507459651,"SMC2"
2.717460125512,"SMC1"
0.0442645180464243,"SMC1"
10.5257125981925,"SMC2"
8.92688187361767,"SMC2"
9.14717947505743,"SMC2"
2.11459884229748,"SMC1"
1.90912873820507,"SMC1"
6.04495367580721,"SMC1"
11.3257086308013,"SMC2"
12.5739340636375,"SMC1"
6.58692886229272,"SMC3"
9.85793296981653,"SMC2"
8.82824506060008,"SMC3"
4.93585715358615,"SMC1"
8.91765329634262,"SMC2"
8.87285783206092,"SMC2"
10.4461632445308,"SMC1"
7.38669092970358,"SMC3"
6.77434402574638,"SMC1"
6.41192350604601,"SMC2"
8.81451388164563,"SMC1"
8.89272476252236,"SMC3"
9.11208276252346,"SMC2"
10.0573301866611,"SMC2"
9.1431377639363,"SMC2"
5.29533042142976,"SMC1"
6.57025910590224,"SMC1"
7.97801921701566,"SMC3"
11.2067731810882,"SMC2"
6.79512431411724,"SMC2"
6.72367575671711,"SMC1"
10.3530148974602,"SMC2"
9.18346095813668,"SMC1"
6.79512435024946,"SMC3"
6.51932432646126,"SMC3"
9.80896917084185,"SMC2"
10.5257126343247,"SMC1"
7.29236047845389,"SMC2"
7.99216093266431,"SMC2"
8.42990213174989,"SMC2"
10.2804835401214,"SMC2"
6.79512438638168,"SMC2"
10.5257126704569,"SMC1"
8.24306339598296,"SMC1"
8.06130143276601,"SMC1"
8.79447094914228,"SMC3"
8.97528712875797,"SMC2"
9.14717951118965,"SMC2"
11.4446396986771,"SMC5"
6.62397037322009,"SMC3"
8.47150803097767,"SMC1"
9.07973515303054,"SMC2"
7.87374654564172,"SMC2"
8.61843737729795,"SMC2"
5.32288617184933,"SMC1"
11.4044277463206,"SMC3"
14.4435869833731,"SMC5"
10.8941218173395,"SMC3"
7.58681295988527,"SMC2"
8.61843741343018,"SMC2"
13.6881629902599,"SMC5"
3.72043189007234,"SMC2"
6.90344202475986,"SMC1"
9.53679245031026,"SMC2"
7.3866909658358,"SMC3"
5.38032482521559,"SMC1"
9.00179059337541,"SMC2"
4.8879175203791,"SMC1"
3.01949225294876,"SMC1"
9.97403404782563,"SMC2"
8.99768131957738,"SMC2"
8.09917289418056,"SMC3"
4.75533691995941,"SMC1"
6.08510291935087,"SMC1"
7.48188090476583,"SMC3"
8.77498705853954,"SMC2"
8.64852987897413,"SMC2"
7.60085631490845,"SMC3"
11.6397551213518,"SMC2"
11.4329198003179,"SMC2"
9.60175141626151,"SMC2"
8.94387104763206,"SMC2"
8.6184374495624,"SMC2"
10.8954502344398,"SMC2"
8.93370354117206,"SMC2"
2.12960436500617,"SMC1"
9.67323785933041,"SMC1"
2.82208673567094,"SMC1"
4.40920633248029,"SMC1"
7.22143736803037,"SMC1"
9.61445823927861,"SMC1"
7.81868058311318,"SMC2"
10.5257127065891,"SMC2"
9.14717954732187,"SMC2"
