"SMC_Subtype","Pathway_ID","Description","setSize","enrichmentScore","NES","P_value","Adjusted_P_value","core_enrichment"
"SMC3","M5924","HALLMARK MTORC1 SIGNALING",34,0.805286626904496,2.74651613386743,3.16907847077399e-12,6.33815694154798e-11,"EGLN3/SLC7A5/HSP90B1/SLC2A3/DDIT4/SLC2A1/BHLHE40/PLOD2/ERO1A/PDK1/P4HA1/NFIL3/IFRD1/DDIT3/RAB1A/ENO1/CALR/SLC6A6/NUPR1/NAMPT/CDKN1A/PNP/IGFBP5/DDX39A/PPP1R15A/SQSTM1"
"SMC3","M5922","HALLMARK UNFOLDED PROTEIN RESPONSE",21,0.809406870563666,2.4616242858233,6.88187567069312e-08,9.17583422759082e-07,"SLC7A5/HSP90B1/DDIT4/ERO1A/VEGFA/DNAJA4/HYOU1/CALR/HERPUD1/EIF4A3/ATF3/EIF4A1"
"SMC3","M5890","HALLMARK TNFA SIGNALING VIA NFKB",71,0.570290285117575,2.25309340805311,2.28509229090059e-07,2.28509229090059e-06,"SLC2A3/IER3/BHLHE40/INHBA/NFIL3/VEGFA/SOD2/SPHK1/HES1/ABCA1/LITAF/KLF10/PFKFB3/KDM6B/CEBPD/DENND5A/BCL6/SDC4/ATF3/NFKBIA/NAMPT/CDKN1A/ETS2/NFKB2/GADD45B/RELA/SAT1/PPP1R15A/ID2/CCL2/SQSTM1/JUNB/IRF1/MARCKS/B4GALT1/PLAUR/TNIP1/CCNL1/SPSB1/GEM"
"SMC3","M5937","HALLMARK GLYCOLYSIS",34,0.673592137631965,2.29735799880835,1.62340201130308e-06,1.29872160904246e-05,"EGLN3/IER3/DDIT4/PLOD2/ERO1A/P4HA1/VEGFA/ENO2/P4HA2/ENO1/PYGL/ANGPTL4/SLC16A3/TGFBI/PPFIA4"
"SMC3","M5932","HALLMARK INFLAMMATORY RESPONSE",28,0.623280931725488,2.03269708186347,0.000100098932000651,0.000667326213337674,"ADM/RGS16/INHBA/SPHK1/ABCA1/NFKBIA/NAMPT/CDKN1A/ITGB3/OSMR/RELA/CCL2/ACVR1B/IRF1/SELENOS/CD40/PLAUR/CD82/ITGA5"
"SMC3","M5923","HALLMARK PI3K AKT MTOR SIGNALING",19,0.683636530587599,2.02738693615781,0.000287016108779105,0.00161429383816704,"HSP90B1/SLC2A1/PDK1/DDIT3/CALR/CDKN1A/SQSTM1/PPP2R1B"
"SMC3","M5939","HALLMARK P53 PATHWAY",45,0.543999385063287,1.96938881766441,0.000362745302025957,0.00161429383816704,"NDRG1/IER3/RGS16/DDIT4/RRAD/SPHK1/TM4SF1/DDIT3/NUPR1/SLC3A2/ATF3/PDGFA/CDKN1A/STOM/ZFP36L1/SAT1/PPP1R15A/ACVR1B/CCNK"
"SMC3","M5947","HALLMARK IL2 STAT5 SIGNALING",39,0.556961450441644,1.95780366428123,0.000363216113587585,0.00161429383816704,"SLC2A3/NDRG1/RGS16/BHLHE40/P4HA1/NFIL3/PIM1/UCK2/DENND5A/PNP/RORA/DHRS3/TGM2/GADD45B"
"SMC3","M5926","HALLMARK MYC TARGETS V1",19,0.634805057341563,1.8825727161698,0.00208086678864851,0.00781180022348797,"IFRD1/UBA2/CNBP/HNRNPD/HNRNPC/EIF4A1/GNL3"
"SMC4","M5928","HALLMARK MYC TARGETS V2",23,0.86633911329159,2.90004698042052,1.93693981255e-14,7.94145323145501e-13,"MYC/NOP16/RRP9/NOP56/SRM/IMP4/WDR43/PPAN/PUS1/GNL3/NOP2/MYBBP1A/UTP20/PRMT3/PPRC1/PA2G4/WDR74/TCOF1/RRP12/PES1/CDK4/FARSA"
