"UMAP_1","UMAP_2","Myeloid_Subtype"
-4.05244558761141,-1.77405862739929,"M1 Macrophages"
1.07746345093229,-2.93479292324432,"Megakaryocyte"
-1.66289967010043,-1.98435192039855,"Mast cells"
-3.04985886523745,-1.98256568840392,"M1 Macrophages"
-1.90277975509188,-1.14063637188323,"M1 Macrophages"
-4.86127870986483,-0.273026274951776,"M1 Macrophages"
-1.93674465725444,-0.15005745223411,"Classical Monocytes"
-3.08257537791751,-3.93474690845855,"M1 Macrophages"
-4.17862957427523,-2.30544214180358,"M1 Macrophages"
-1.06551703522227,-2.90493433407195,"Mast cells"
-4.01700108954928,-0.693921374591669,"Classical Monocytes"
-2.81701224753878,-0.597032549294313,"Classical Monocytes"
-4.45772427032015,-2.08120303085693,"M1 Macrophages"
-1.7264744312527,-1.83182518413909,"Mast cells"
7.36480504562833,-3.2946392767752,"Platelets"
6.67925721695402,-3.78949277332672,"Platelets"
-0.797042963004329,4.3824904687082,"M1 Macrophages"
-3.80090254256747,-3.49835793903716,"M1 Macrophages"
-2.26156097362063,-1.79263214996704,"M1 Macrophages"
-2.39083110997698,-3.13279430797943,"M1 Macrophages"
-4.02989715049288,-3.39527790478118,"M1 Macrophages"
-4.47475760886691,-3.48339598110565,"M1 Macrophages"
-3.72137826392672,-4.26489393642791,"M1 Macrophages"
-0.761082705950953,4.07833702632538,"Classical Monocytes"
-4.51669710586093,1.87810928889863,"Classical Monocytes"
-5.23748868415377,-2.39452450207122,"M1 Macrophages"
-3.6625098557236,-1.44048391512283,"M1 Macrophages"
-3.99994080970309,1.76598198482148,"Classical Monocytes"
-5.31149285743258,1.12179358073823,"Classical Monocytes"
-3.48189013907931,-2.9341828101004,"M1 Macrophages"
-3.15629094550631,-2.87601320675262,"M1 Macrophages"
-4.78940790603182,-0.753390150579294,"M1 Macrophages"
-4.57408779571078,-1.83089141777404,"M1 Macrophages"
-4.26212781379244,-1.88719181946166,"M1 Macrophages"
-2.32316523501895,-3.58540384701141,"M1 Macrophages"
-3.0789406866791,2.4002328641092,"Classical Monocytes"
-5.40029567191622,1.52528448173157,"Classical Monocytes"
-4.35854547927401,-3.17569916180023,"M1 Macrophages"
-0.216390785670497,4.37027103969208,"Classical Monocytes"
-5.28935044715426,-2.59132020405181,"M1 Macrophages"
-2.77029055068515,-3.49697129658111,"M1 Macrophages"
-4.28516143271945,-2.06339173248657,"M1 Macrophages"
-3.08843916366122,-3.56395857265838,"M1 Macrophages"
-5.70533626983187,-6.20659177235015,"M1 Macrophages"
-5.56297129104159,-5.1074210875357,"M1 Macrophages"
7.52513581802823,-3.76122610500701,"Platelets"
-2.61495798537753,3.64706738063447,"Classical Monocytes"
-2.30820089290164,2.31965477534882,"Classical Monocytes"
-2.94836407611392,2.6712117917215,"Classical Monocytes"
-3.94444793174288,-1.51596002510436,"M1 Macrophages"
-3.50658434340975,-3.58270184925445,"M1 Macrophages"
-2.7920138211014,2.51319797107331,"Classical Monocytes"
-3.26838308284304,1.48770339557282,"Classical Monocytes"
-1.811772164798,4.23177893230073,"Classical Monocytes"
-1.76092305490992,3.16325838634125,"Classical Monocytes"
-4.44884699294589,-1.5595238678778,"M1 Macrophages"
-3.87313502738497,-2.0593960755194,"M1 Macrophages"
-4.17346852729342,-3.7221204512442,"M1 Macrophages"
-1.98479965040705,-3.45915071895965,"M1 Macrophages"
5.55726939728238,-3.72904388836273,"Platelets"
-2.86366384933016,-1.88447992733367,"M1 Macrophages"
-3.60476821372531,2.06854469844453,"Classical Monocytes"
-3.89645689437411,-1.45125381878265,"M1 Macrophages"
-4.47235983321688,2.13013846942536,"Classical Monocytes"
-3.55555623481295,2.35250265666596,"Classical Monocytes"
-3.75666922042391,1.7673404938852,"Classical Monocytes"
-1.23700487325213,3.15108926364533,"Classical Monocytes"
0.381403031849645,1.08270390102021,"Classical Monocytes"
-4.37976044127963,1.862251830784,"Classical Monocytes"
-5.01241820762179,-1.73839776447662,"M1 Macrophages"
-4.21431773612521,1.37030572959534,"Classical Monocytes"
-2.4042672486069,3.55774624415986,"Classical Monocytes"
-2.80935054729006,-0.984241651805719,"M1 Macrophages"
-3.05072945067904,3.09523994990937,"Classical Monocytes"
-3.35355192134402,1.80976564952485,"Classical Monocytes"
5.82432014038541,-3.55977003506072,"Platelets"
-2.88510352084658,-4.01646439960845,"M1 Macrophages"
-2.96462934920809,-3.48585741451629,"M1 Macrophages"
-4.45995682189486,1.52145273753754,"Classical Monocytes"
-3.14857202479861,-2.20388846329101,"M1 Macrophages"
-1.94928973624728,4.41266567775361,"Classical Monocytes"
-3.90922158668063,0.734180165020148,"Classical Monocytes"
5.47346145203092,-3.62870376041778,"Platelets"
-2.82476097056887,-1.65765600136169,"M1 Macrophages"
-3.97826569983981,-0.863785552295526,"M1 Macrophages"
-4.36784285018466,-2.49465100696929,"M1 Macrophages"
-1.93101647207759,1.12805445262543,"Classical Monocytes"
-3.14352243850253,-4.14305274418243,"M1 Macrophages"
-4.57207315871737,1.84283025333039,"Classical Monocytes"
-4.57876413772128,-1.98733835152038,"M1 Macrophages"
-3.42893725345156,2.64784748622529,"Classical Monocytes"
-5.13886111686251,-1.31282423666366,"M1 Macrophages"
-3.27315884540103,-4.13041441372283,"M1 Macrophages"
-4.71151369521639,1.99107344218842,"Classical Monocytes"
-2.73172229239962,-2.02360849312194,"M1 Macrophages"
-3.03579121539614,0.936577869144598,"Classical Monocytes"
-3.9732107491257,0.255593848911444,"Classical Monocytes"
-3.83984368751071,-0.930401580842813,"M1 Macrophages"
-3.68330377051852,-4.17873017719634,"M1 Macrophages"
1.37618118813016,3.45104415485016,"M2 Macrophages"
-3.53296917388461,2.31893451282136,"Classical Monocytes"
-4.84832471320651,-0.984717475684961,"M1 Macrophages"
5.94593602707364,-4.97505109241851,"Platelets"
-3.35847443053744,-2.70024077824005,"M1 Macrophages"
